"NOME_ALUNO","SEXO","IDADE (ao ingressar)","ESTADO_CIVIL (ao ingressar)","ETNIA","COD_CURSO","NOME_CURSO","ANO_INGRESSO","FORMA_INGRESSO","PERIODO_INGRESSO","ANO_EVASAO","PERIODO_EVASAO","Forna de Evasão","NUM_PERIODOS","NUM_MAX_PERIODOS","CH_TOTAL_CURSO","COTISTA","MUNICIPIO","ESTADO","PAIS","CRN","CRA","QTDE_TRANCAMENTOS"
"Aluno 1586","M","19.1","Solteiro(a)","Branca","11","Ciência da Computação","2000","Vestibular","1º Semestre","2004","2º Semestre","Desligado","9","16","2910","N","VILA VELHA","","Brasil","","2.12","0"
"Aluno 1587","F","19.2","Solteiro(a)","Branca","11","Ciência da Computação","1998","Vestibular","1º Semestre","2002","1º Semestre","Formado","9","16","2910","N","VITORIA","","Brasil","","9.04","0"
"Aluno 1588","F","18.0","Solteiro(a)","Branca","11","Ciência da Computação","1993","Vestibular","1º Semestre","1995","","Desligado","9","16","2910","N","VILA VELHA","","Brasil","","0","0"
"Aluno 1589","F","19.5","Solteiro(a)","Branca","11","Ciência da Computação","1991","Vestibular","1º Semestre","1994","","Desistência","9","16","2910","N","VITORIA","","Brasil","","6.94","0"
"Aluno 1590","M","20.7","Solteiro(a)","Branca","11","Ciência da Computação","2004","Vestibular","1º Semestre","2010","1º Semestre","Desligado","9","16","2910","N","","","BRASIL","4,7755","5.7","0"
"Aluno 1591","M","19.7","Solteiro(a)","Branca","11","Ciência da Computação","1996","Vestibular","1º Semestre","1999","","Desligado","9","16","2910","N","VILA VELHA","","Brasil","","0","0"
"Aluno 1592","M","18.3","Solteiro(a)","Branca","11","Ciência da Computação","2007","Vestibular","2º Semestre","2010","1º Semestre","Desistência","9","13","3590","N","VITORIA","Espirito Santo","Brasil","4,6327","5.88","1"
"Aluno 1593","M","29.3","Solteiro(a)","Branca","11","Ciência da Computação","1990","Vestibular","2º Semestre","1994","","Desistência","9","16","2910","N","","","Brasil","","1.83","0"
"Aluno 1594","F","17.2","Solteiro(a)","Branca","11","Ciência da Computação","2004","Vestibular","1º Semestre","2004","2º Semestre","Desistência","9","16","2910","N","VITORIA","MA","Brasil","","0","0"
"Aluno 1595","M","19.0","Solteiro(a)","Branca","11","Ciência da Computação","1995","Vestibular","1º Semestre","2000","","Formado","9","16","2910","N","","","","","8.37","0"
"Aluno 1596","M","19.2","Solteiro(a)","Branca","11","Ciência da Computação","1992","Vestibular","2º Semestre","1999","","Formado","9","16","2910","N","VITORIA","","Brasil","","6.81","0"
"Aluno 1597","M","21.2","Solteiro(a)","Branca","11","Ciência da Computação","1991","Vestibular","2º Semestre","1999","","Formado","9","16","2910","N","VITORIA","","Brasil","","6.51","0"
"Aluno 1598","M","18.2","Solteiro(a)","Branca","11","Ciência da Computação","1993","Vestibular","1º Semestre","1999","","Formado","9","16","2910","N","VILA VELHA","","Brasil","","7.53","0"
"Aluno 1599","M","18.1","Solteiro(a)","Branca","11","Ciência da Computação","1991","Vestibular","2º Semestre","1996","","Desistência","9","16","2910","N","","","","","4.19","0"
"Aluno 1600","M","18.9","Solteiro(a)","Branca","11","Ciência da Computação","2004","Vestibular","1º Semestre","2008","2º Semestre","Desligado","9","16","2910","N","VILA VELHA","Espirito Santo","Brasil","3,683","4.15","1"
"Aluno 1601","M","18.4","Solteiro(a)","Branca","11","Ciência da Computação","2005","Vestibular","1º Semestre","2010","1º Semestre","Desligado","9","16","2910","N","VILA VELHA","","","4,2789","5.12","1"
"Aluno 1602","M","22.6","Solteiro(a)","Branca","11","Ciência da Computação","2016","Reopção de Curso","2º Semestre","0","","Sem evasão","9","13","3590","N","VILA VELHA","Espirito Santo","Brasil","13,738","5.09","0"
"Aluno 1603","M","18.5","Solteiro(a)","Branca","11","Ciência da Computação","2007","Vestibular","1º Semestre","2015","1º Semestre","Desligado","9","16","2910","N","VILA VELHA","Espirito Santo","Brasil","3,4403","3.6","1"
"Aluno 1604","M","18.4","Solteiro(a)","Branca","11","Ciência da Computação","2000","Vestibular","1º Semestre","2002","2º Semestre","Desligado","9","16","2910","N","VITORIA","","Brasil","","0","0"
"Aluno 1605","M","17.0","Solteiro(a)","Branca","11","Ciência da Computação","2006","Vestibular","1º Semestre","2010","1º Semestre","Desistência","9","16","2910","N","VITORIA","Espirito Santo","Brasil","3,6803","4.48","1"
"Aluno 1606","F","17.2","Solteiro(a)","Parda","11","Ciência da Computação","2011","Vestibular","1º Semestre","2012","2º Semestre","Desligado","9","13","3590","N","VITORIA","Espirito Santo","Brasil","2,0132","1.47","0"
"Aluno 1607","M","19.4","Solteiro(a)","Branca","11","Ciência da Computação","1995","Vestibular","1º Semestre","2001","2º Semestre","Formado","9","16","2910","N","VILA VELHA","","Brasil","","7.34","0"
"Aluno 1608","F","19.8","Solteiro(a)","Branca","11","Ciência da Computação","1998","Vestibular","1º Semestre","2003","2º Semestre","Desligado","9","16","2910","N","VITORIA","","Brasil","","6.26","3"
"Aluno 1609","M","17.9","Solteiro(a)","Branca","11","Ciência da Computação","1993","Vestibular","1º Semestre","1998","","Formado","9","16","2910","N","VITORIA","","Brasil","","7.97","0"
"Aluno 1610","F","16.9","Solteiro(a)","Branca","11","Ciência da Computação","1993","Vestibular","1º Semestre","1998","","Formado","9","16","2910","N","VILA VELHA","","Brasil","","9.06","0"
"Aluno 1611","F","22.3","Solteiro(a)","Branca","11","Ciência da Computação","1996","Vestibular","1º Semestre","1999","","Formado","9","16","2910","N","","","","","8.31","0"
"Aluno 1612","M","20.4","Solteiro(a)","Branca","11","Ciência da Computação","2011","Vestibular","1º Semestre","2015","2º Semestre","Formado","9","13","3590","N","VILA VELHA","Espirito Santo","Brasil","6,2426","8.13","0"
"Aluno 1613","F","18.3","Solteiro(a)","Branca","11","Ciência da Computação","1992","Vestibular","2º Semestre","1998","","Formado","9","16","2910","N","VITORIA","","Brasil","","7.03","0"
"Aluno 1614","F","21.6","Solteiro(a)","Branca","11","Ciência da Computação","2003","Reopção de Curso","2º Semestre","2010","2º Semestre","Desistência","9","16","2910","N","","","","4,6221","5.67","1"
"Aluno 1615","M","17.9","Solteiro(a)","Branca","11","Ciência da Computação","1992","Vestibular","2º Semestre","1994","","Transferência para outra institução","9","16","2910","N","VILA VELHA","","Brasil","","5.13","0"
"Aluno 1616","M","18.8","Solteiro(a)","Branca","11","Ciência da Computação","1998","Vestibular","1º Semestre","2003","2º Semestre","Formado","9","16","2910","N","VITORIA","","Brasil","","9.27","0"
"Aluno 1617","F","22.1","Solteiro(a)","Preta","11","Ciência da Computação","2011","Vestibular","1º Semestre","2012","2º Semestre","Desligado","9","13","3590","S","VITORIA","Espirito Santo","Brasil","1,4594","1.01","0"
"Aluno 1618","M","19.6","Solteiro(a)","Branca","11","Ciência da Computação","2003","Vestibular","1º Semestre","2008","2º Semestre","Desligado","9","16","2910","N","VITORIA","","Brasil","4,9573","6.35","1"
"Aluno 1619","M","23.5","Casado(a)","Branca","11","Ciência da Computação","2012","Vestibular","1º Semestre","2015","2º Semestre","Desligado","9","13","3590","N","VITORIA","Espirito Santo","Brasil","1,8933","0.88","1"
"Aluno 1620","M","18.6","Solteiro(a)","Branca","11","Ciência da Computação","1995","Vestibular","1º Semestre","2000","","Formado","9","16","2910","N","VILA VELHA","","Brasil","","7.34","0"
"Aluno 1621","M","18.2","Solteiro(a)","Branca","11","Ciência da Computação","1992","Vestibular","2º Semestre","1998","","Formado","9","16","2910","N","VITORIA","","Brasil","","8.44","0"
"Aluno 1622","M","18.0","Solteiro(a)","Branca","11","Ciência da Computação","1993","Vestibular","1º Semestre","0","","Transferência para outra institução","9","16","2910","N","J.DA PENHA VITORIA","","Brasil","","1.87","0"
"Aluno 1623","M","23.4","Solteiro(a)","Branca","11","Ciência da Computação","2000","Vestibular","1º Semestre","2005","2º Semestre","Desligado","9","16","2910","N","VITORIA","Espírito Santo","Brasil","","6.68","2"
"Aluno 1624","M","17.6","","Branca","11","Ciência da Computação","1994","Vestibular","1º Semestre","1999","","Desligado","9","16","2910","N","VITORIA","","Brasil","","0","0"
"Aluno 1625","M","18.3","Solteiro(a)","Branca","11","Ciência da Computação","1997","Vestibular","1º Semestre","1999","","Desligado","9","16","2910","N","VITORIA","","Brasil","","0","0"
"Aluno 1626","M","21.9","Casado(a)","Parda","11","Ciência da Computação","2004","Vestibular","1º Semestre","2015","2º Semestre","Desligado","9","16","2910","N","VITORIA","Espirito Santo","Brasil","14,0245","4.32","0"
"Aluno 1627","M","22.3","Solteiro(a)","Branca","11","Ciência da Computação","2009","Novo Curso","2º Semestre","2015","1º Semestre","Desligado","9","13","3590","N","VITORIA","Espirito Santo","Brasil","4,0041","4.33","0"
"Aluno 1628","M","34.2","Casado(a)","Branca","11","Ciência da Computação","2006","Vestibular","1º Semestre","2006","2º Semestre","Desistência","9","16","2910","N","VITORIA","","","","0.82","1"
"Aluno 1629","M","19.9","Solteiro(a)","Branca","11","Ciência da Computação","1995","Vestibular","1º Semestre","2000","","Formado","9","16","2910","N","VITORIA","","Brasil","","7.79","0"
"Aluno 1630","M","19.0","Solteiro(a)","Branca","11","Ciência da Computação","2006","Vestibular","1º Semestre","2011","1º Semestre","Desligado","9","16","2910","N","Serra","","","3,5378","4.23","1"
"Aluno 1631","M","19.3","Solteiro(a)","Branca","11","Ciência da Computação","2011","Vestibular","1º Semestre","2015","1º Semestre","Desistência","9","13","3590","N","SERRA","Espirito Santo","Brasil","4,4058","4.88","1"
"Aluno 1632","M","26.5","Solteiro(a)","Branca","11","Ciência da Computação","2004","Reopção de Curso","2º Semestre","2015","1º Semestre","Desligado","9","16","2910","N","GUARAPARI","Espirito Santo","Brasil","14,7995","5.75","1"
"Aluno 1633","M","18.5","Solteiro(a)","Branca","11","Ciência da Computação","1998","Vestibular","1º Semestre","2002","1º Semestre","Formado","9","16","2910","N","CARIACICA","","Brasil","","9.1","0"
"Aluno 1634","M","20.1","Solteiro(a)","Branca","11","Ciência da Computação","1992","Vestibular","2º Semestre","1997","","Formado","9","16","2910","N","VITORIA","","Brasil","","7.45","0"
"Aluno 1635","M","23.4","Solteiro(a)","Branca","11","Ciência da Computação","1992","Vestibular","2º Semestre","1999","","Desligado","9","16","2910","N","VITORIA","","Brasil","","3.87","0"
"Aluno 1636","M","27.7","Casado(a)","Branca","11","Ciência da Computação","2006","Novo Curso","2º Semestre","2011","1º Semestre","Desligado","9","16","2910","N","SAO PAULO","Sao Paulo","Brasil","4,605","5.77","1"
"Aluno 1637","M","33.0","Casado(a)","Branca","11","Ciência da Computação","1999","Vestibular","1º Semestre","2002","2º Semestre","Desligado","9","16","2910","N","VITORIA","","Brasil","","5.47","0"
"Aluno 1638","M","21.9","Casado(a)","Branca","11","Ciência da Computação","1992","Vestibular","2º Semestre","1995","","Desligado","9","16","2910","N","","","","","4.31","0"
"Aluno 1639","M","17.3","Solteiro(a)","Branca","11","Ciência da Computação","2011","Vestibular","1º Semestre","2016","2º Semestre","Formado","9","13","3590","N","VILA VELHA","Espirito Santo","Brasil","5,8755","7.63","0"
"Aluno 1640","M","19.3","Solteiro(a)","Branca","11","Ciência da Computação","2011","Vestibular","1º Semestre","2012","1º Semestre","Reopção de Curso","9","13","3590","N","Vitoria","Espirito Santo","Brasil","4,3807","4.98","1"
"Aluno 1641","M","18.6","Solteiro(a)","Branca","11","Ciência da Computação","1997","Vestibular","1º Semestre","2002","1º Semestre","Formado","9","16","2910","N","VITORIA","","Brasil","","8","0"
"Aluno 1642","M","21.7","Solteiro(a)","Branca","11","Ciência da Computação","1999","Vestibular","2º Semestre","2011","1º Semestre","Desligado","9","16","2910","N","Vitória","","Brasil","14,7921","5.46","0"
"Aluno 1643","M","17.7","Solteiro(a)","Branca","11","Ciência da Computação","2012","Vestibular","1º Semestre","2019","1º Semestre","Reopção de Curso","9","13","3590","N","VITORIA","Espirito Santo","Brasil","3,3699","3.25","0"
"Aluno 1644","M","17.4","Uniao Estavel","Branca","11","Ciência da Computação","2005","Vestibular","1º Semestre","2008","2º Semestre","Reopção de Curso","9","16","2910","N","VITORIA","Espirito Santo","Brasil","3,4516","3.73","0"
